stop_name,stop_name_kn
Adigondanahalli,ಆದಿಗೊಂಡನಹಳ್ಳಿ
Adigondanahalli Junction,ಅಡಿಗೊಂಡನಹಳ್ಳಿ ಜಂಕ್ಷನ್
Adishwara Bombay Dying,ಆದೀಶ್ವರ ಬಾಂಬೆ ಡೈಯಿಂಗ್
Aditya Bakery,ಆದಿತ್ಯ ಬೇಕರಿ
Ado Sonnahatti,ಆಡೊ ಸೊನ್ನಹಟ್ಟಿ
Adugodi,ಆಡುಗೋಡಿ
Adugodi Police Station,ಆಡುಗೋಡಿ ಪೋಲಿಸ್‌ ಠಾಣೆ
Aduru,ಅಡೂರು
Aerospace Bagalur,ಎರೋಸ್ಪೇಸ್ ಬಾಗಲೂರು
Agalakote,ಅಗಲಕೋಟೆ
Agara,ಅಗರ
Agara Cross,ಅಗರ ಕ್ರಾಸ್
Agara Junction,ಅಗರ ಜಂಕ್ಷನ್
Agrahara Dasarahalli,ಅಗ್ರಹಾರ ದಾಸರಹಳ್ಳಿ
Agrahara Layout,ಅಗ್ರಹಾರ ಬಡಾವಣೆ
Agrahara Layout Cross,ಅಗ್ರಹಾರ ಬಡಾವಣೆ ಕ್ರಾಸ್
Agraharapalya Gate,ಅಗ್ರಹಾರಪಾಳ್ಯ ಗೇಟ್
Ahad Excellencia Apartment,ಅಹದ್ ಎಕ್ಸೆಲೆನ್ಸಿಯಾ ಅಪಾರ್ಟ್ ಮೆಂಟ್
Ainahalli,ಐನಹಳ್ಳಿ
Air Lines Dhaba Gate,ಎರ್‌ ಲೈನ್ಸ್‌ ಡಾಬಾ ಗೇಟ್
Airport Trumpet,ಎರ್ಪೋಟ್‌ ಟ್ರಂಪೆಟ್
Ajjagondanahalli,ಅಜ್ಜಗೊಂಡನಹಳ್ಳಿ
Ajjanahalli,ಅಜ್ಜನಹಳ್ಳಿ
Ajmeer Apartment Neeladri Road,ಅಜ್ಮೀರ್‌ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ನೀಲಾದ್ರಿ ರಸ್ತೆ
Akkayammana Betta,ಅಕ್ಕಯಮ್ಮನ ಬೆಟ್ಟ
Akkayammana Betta Huttanahalli Cross,ಅಕ್ಕಯಮ್ಮನ ಬೆಟ್ಟ ಹುಟ್ಟನಹಳ್ಳಿ ಕ್ರಾಸ್
Akkipete Devanahalli,ಅಕ್ಕಿಪೇಟೆ ದೇವನಹಳ್ಳಿ
Akshayanagara,ಅಕ್ಷಯನಗರ
Akshayanagara New Town,ಅಕ್ಷಯನಗರ ನ್ಯೂ ಟೌನ್
Aladamara Chikkanahalli Cross,ಆಲದಮರ ಚಿಕ್ಕನಹಳ್ಳಿ ಕ್ರಾಸ್
Aladamara Laggere,ಆಲದಮರ ಲಗ್ಗೇರೆ
Aladamara Papareddypalya,ಅಲದಮರ ಪಪರೆದ್ಠೆಪಲೆ
Alagondahalli,ಆಲಗೊಂಡಹಳ್ಳಿ
Alahalli,ಆರ್ ಫಾರ್ಮ್
Alambadi,ಆಲಂಬಾಡಿ
Alanayakanahalli Gate,ಆಲನಾಯಕನಹಳ್ಳಿ ಗೇಟ್
Ali Bommasandra,ಅಲಿ ಬೊಮ್ಮಸಂದ್ರ
Alisda,ಅಲಿಸ್ದಾ
Aliyuru,ಅಲಿಯೂರು
Allalasandra,ಅಲ್ಲಾಳಸಂದ್ರ
Allalasandra Gate,ಅಲ್ಲಾಳಸಂದ್ರ ಗೇಟ್‌
Allalasandra Gate FLY,ಅಲ್ಲಾಳಸಂದ್ರ ಗೇಟ್ ಫ್ಲೈ
Allalasandra Janapriya Apartments,ಅಲ್ಲಾಳಸಂದ್ರ‌ ಜನಪ್ರೀಯ ಅಪಾರ್ಟ್‌ಮೆಂಟ್
Allalasandra Lake,ಅಲ್ಲಾಳಸಂದ್ರ ಲೇಕ್
Allammanapalya,ಅಲ್ಲಮನಪಾಳ್ಯ
Alpha College Chikka Gubbi,ಅಲ್ಫಾ ಕಾಲೇಜು ಚಿಕ್ಕಗುಬ್ಬಿ
Alphine Apartment,ಆಲ್ಫೈನ್ ಅಪಾರ್ಟ್ಮೆಂಟ್
Alphine Viva Apartment Seegehalli,ಆಲ್ಫೈನ್ ವಿವಾ ಅಪಾರ್ಟ್ಮೆಂಟ್ ಸೀಗೆಹಳ್ಳಿ
Aluru,ಆಲೂರು
Aluru BDA 1st Stage,ಆಲೂರು ಬಿಡಿಎ 1ಎಸ್ಟಿ ಸ್ಟೇಜ್
Aluru BDA 2nd Stage,ಆಲೂರು‌ ಬಿಡಿಎ 2ನೇ ಹಂತ
Aluru Cross,ಆಲೂರು ಕ್ರಾಸ್
Alurupalya,ಆಲೂರುಪಾಳ್ಯ
Amarajyothi Badavane,ಅಮರಜ್ಯೋತಿ ಬಡಾವಣೆ
Ambabhavani Badavane,ಅಂಬಾಭವಾನಿ ಬಡಾವಣೆ
Ambalagere,ಅಂಬಲಗೆರೆ
Ambalipura,ಅಂಬಲಿಪುರ
Ambedkar Institute of Technology,ಅಂಬೇಡ್ಕರ್‌ ಇನ್ಟಿಟ್ಯೂಟ್‌ ಆಫ್‌ ಟೆಕ್ನಾಲಾಜಿ
Ambedkar Medical College Shampura,ಅಂಬೇಡ್ಕರ್‌ ಮೆಡಿಕಲ್‌ ಕಾಲೇಜು ಶಾಂಪುರ
Ambedkar Nagara,ಅಂಬೇಡ್ಕರ್‌ ನಗರ
Ambika School,ಅಂಬಿಕಾ ಸ್ಕೂಲ್
Amma Ashrama Cross,ಅಮ್ಮ ಆಶ್ರಮ ಕ್ರಾಸ್
Amritha Ayurvedic Hospital,ಅಮೃತ ಆಯುರ್ವೇದಿಕ್ ಹಾಸ್ಪಿಟಲ್
Amruth Sweets,ಅಮೃತ್ ಸ್ವೀಟ್ಸ್
Amrutha Engineering College,ಅಮೃತ ಇಂಜಿನಿಯರಿಂಗ್‌ ಕಾಲೇಜು
Amruthahalli,ಅಮೃತಹಳ್ಳಿ
Amruthanagara,ಅಮೃತನಗರ
Amruthanagara Canara Bank,ಅಮೃತನಗರ ಕೆನರಾ ಬ್ಯಾಂಕ್
Amruthanagara Hebbala,ಅಮೃತನಗರ ಹೆಬ್ಬಾಳ
Amruthaya central school,ಅಮೃತಯ ಸೆಂಟ್ರಲ್ ಸ್ಕೂಲ್
Anagalipura,ಅನಗಲಿಪುರ
Anagalipura Gate,ಅನಗಲಿಪುರ ಗೇಟ್
